,publisher_id,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
169,410,4,1,52,564,10.846153846153847,3.0,1.0,51,52,1558.7615384615385
323,681,4,4,2,480,120.0,2.0,12.5,1,4,1109.5
399,807,3,2,45,528,11.478260869565217,4.0,38.73913043478261,44,46,1471.021739130435
284,632,5,2,15,512,28.444444444444443,3.0,9.0,10,18,1205.3999999999999
365,764,8,3,23,511,15.029411764705882,4.0,13.764705882352942,12,34,1337.5382352941176
405,821,5,2,48,526,10.73469387755102,5.0,13.26530612244898,46,49,1469.8734693877548
368,770,5,3,46,496,10.122448979591837,3.0,26.857142857142858,44,49,1421.5959183673472
92,269,5,2,15,473,18.92,3.0,29.88,10,25,1205.532
187,440,2,2,41,495,12.073170731707316,4.0,12.073170731707316,40,41,1342.3243902439024
153,389,1,1,50,492,9.84,5.0,24.0,50,50,1419.056
152,386,2,2,51,494,9.686274509803921,5.0,13.529411764705882,50,51,1421.0411764705884
356,747,2,1,5,438,73.0,2.0,28.0,3,6,1013.8
